"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 03 17:16:45 CST 2021","Fri Dec 03 17:16:47 CST 2021","2190","网关管理平台","其他","","","","test_general[data0]","网关管理平台各功能模块测试"
"passed","Fri Dec 03 17:16:49 CST 2021","Fri Dec 03 17:16:51 CST 2021","2031","网关管理平台","其他","","","","test_general[data2]","网关管理平台各功能模块测试"
"passed","Fri Dec 03 17:16:47 CST 2021","Fri Dec 03 17:16:49 CST 2021","2058","网关管理平台","其他","","","","test_general[data1]","网关管理平台各功能模块测试"
